Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,,The Perks Of Being A Wallflower,224,Novel,"Charlie, an introverted high school freshman, navigates the challenges of adolescence, mental health, and first love through a series of letters as he tries to find his place in the world. With the help of new friends Sam and Patrick, he begins to step out of the shadows and confront the trauma of his past.",Stephen Chbosky,1999,,,Moderately Complex ,Moderately Complex ,Slightly Complex,Very Complex,,720,4.51,4.97,9 to 12 ,,realistic fiction ,"friendship, the power of words, mental illness, relationships, identity ","coming of age, young adult literature, epistolary, emotional, trauma ",LGBTQ+
,,Long Way Down,306,Novel ,"After his brother is shot and killed, fifteen-year-old Will sets out to take revenge, riding the elevator down with a gun tucked in his waistband. During the ride, he is confronted by ghosts from his past, each forcing him to question the cycle of violence hes about to continue.",Jason Reynolds,2017,,,Very Complex,Very Complex ,Moderately Complex ,Moderately Complex,,720,4.51,4.3,7 to 12,,"fiction, poetry ","family, loyalty, grief, violence, choice, revenge","supernatural, drama, young adult literature, coming of age, magical realism, gender roles",African American 
,,Twleve Angry Men,96,Drama,"When a jury of twelve men must decide the fate of a teenage boy accused of murder, one juror stands alone in questioning the evidence. As tensions rise in the jury room, each man confronts his own biases, and the case becomes a test of justice, reason, and integrity.",Reginald Rose,1964,,,Very Complex,Moderately Complex ,Moderately Complex,Moderately Complex,,,7.72,7.2,7 to 12 ,,"fiction, drama","justice, prejudice, human nature, conformity, racial inequality ","classic, criminal justice system, doubt, pyschological ",
,,Maus,159,Graphic Novel,"Art Spiegelman interviews his father, Vladek, a Polish Jew and Holocaust survivor, to understand his harrowing experiences during World War II. As their strained father-son relationship unfolds alongside the graphic depiction of survival, Maus explores memory, trauma, and the lasting impact of history.",Art Spiegelman ,1986,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,720,4.51,3.1,8 to 12 ,,memoir,"survival, grief, legacy of heritage, family, memory, facing racism, guilt ","graphic novel, autobiographical, trauma, father-son relationships",Holocaust/Jewish
,,A Christmas Carol,64,Novella,"Ebenezer Scrooge, a cold-hearted and miserly man, is visited on Christmas Eve by the ghosts of Christmas Past, Present, and Yet to Come. Through these supernatural encounters, he confronts the consequences of his greed and transforms into a kinder, more generous person.",Charles Dickens,1843,,,Moderately Complex ,Moderately Complex ,Very Complex,Moderately Complex,,500,6.7,6.7,6 to 12 ,,"fiction, classic ","redemption, compassion, forgiveness, poverty, injustice ","classic, moral responsibility, supernatural, social commentary ",
,,The Old Man And The Sea,128,Novel,"Santiago, an aging Cuban fisherman, endures a grueling battle with a giant marlin far out in the Gulf Stream after weeks of bad luck. His physical struggle becomes a quiet, powerful reflection on pride, perseverance, and the dignity found in enduring hardship.",Ernest Hemingway,1952,,,Very Complex,Moderately Complex ,Slightly Complex,Moderately Complex,,940,4.51,5.1,7 to 12,,"fiction, classic ","resilience, friendship, man vs nature, pride, destruction, youth vs. age","classic, allegory, religion, heroism, adventure, nautical",
,,The Road,287,Novel,"In a bleak, post-apocalyptic world, a father and his young son journey through a devastated landscape, struggling to survive while holding onto hope and their moral code. As they face hunger, danger, and despair, their bond becomes a quiet testament to love, humanity, and endurance in a ruined world.",Cormac McCarthy,2006,,,Very Complex ,Very Complex,Very Complex,Very Complex,,670,4.51,4,9 to 12 ,,"fiction, dystopian fiction","family, survival, hope, memory, faith, resilience, good vs evil ","post-apocalyptic, science fiction, dystopian, father-son relationships, morality ",
,,They Called Us Enemy,193,Graphic Novel ,"In this graphic memoir, actor George Takei recounts his childhood experiences in a Japanese American internment camp during World War II. Through his family's story, the book explores themes of injustice, resilience, and the importance of speaking out against prejudice and government abuse.",George Takei ,2019,,,Very Complex,Moderately Complex ,Moderately Complex,Moderately Complex,,680,4.51,4.97,7 to 12 ,,memoir,"facing racism, justice, family, war, community, courage, democracy","autobiographical, graphic novel, history, civic responsibility",Japanese American
,,The Joy Luck Club,288,Novel,"Four Chinese American daughters and their immigrant mothers navigate cultural identity, generational conflict, and personal history as they share their stories through the lens of the Joy Luck Club. Through intertwined narratives, the novel explores the complex bonds between mothers and daughters, shaped by loss, resilience, and the blending of two worlds.",Amy Tan ,1989,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,930,8.4,5.7,9 to 12 ,,realistic fiction ,"legacy of heritage, family, cultural identity, immigrant experience, generational divide","mother-daughter relationships, american dream, storytelling, coming of age",Chinese American/Asian American 
,,Outliers,336,Non-Fiction Book,"Malcolm Gladwell examines the factors that contribute to high levels of success, arguing that personal talent alone isnt enough. Through stories and research, he reveals how opportunity, culture, timing, and hard work shape extraordinary achievements.",Malcolm Gladwell ,2008,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex,,1080,7.72,7.8,9 to 12 ,,"nonfiction, self-help","community, cultural identity, privilege, the myth of individual success, opportunity","self-help, social status, social science, narrative nonfiction, business and economics",
,,Life Of Pi,352,Novel,"After a shipwreck leaves him stranded in the Pacific Ocean, young Pi Patel survives 227 days at sea in a lifeboat with a Bengal tiger, leading to a profound exploration of faith, survival, and the blurry line between fact and fiction.",Yann Martel,2001,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,830,5.34,5.14,9 to 12,,adventure fiction ,"storytelling, connection to nature, survival","religion, coming of age, resilience, nautical interdependence",Indian
,,Looking For Alaska,272,Novel,"A lonely teenager named Miles Pudge Halter attends a boarding school in search of a Great Perhaps, where he forms deep friendships, falls in love with the mysterious Alaska Young, and is forever changed by her tragic death, which leads him to grapple with love, loss, and the meaning of life.",John Green,2005,,,Very Complex,Very Complex,Very Complex,Very Complex,,850,6.12,6,7 to 12,,realistic fiction ,"loyalty, self-discovery, friendship","coming of age, young adult, tragedy, mischief, trauma",
,,We Were Liars,256,Novel,"We Were Liars follows Cadence Sinclair as she returns to her familys private island, gradually uncovering the traumatic truth about a fire that killed her closest friendsand her own role in the tragedy.",E. Lockhart,2014,,,Exceedingly Complex,Very Complex,Very Complex,Exceedingly Complex,,600,3.66,3.95,9 to 12,,psychological fiction,"deception, consequences of actions, family and grief","horror, magical realism, mystery, trauma, self-discovery",
,,The 5Th Wave,457,Novel,"After four devastating waves of an alien invasion, teenage survivor Cassie Sullivan battles mistrust and loss as she fights to rescue her younger brother from a military base run by the enemyonly to discover that the greatest threat to humanity may be humans themselves, manipulated into becoming the final wave of extermination.",Rick Yancey,2013,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,690,5,4.5,7 to 12,,science fiction ,"forced growth, loyalty, survival, loss of innocence","war, resilience, family, trust, identity, human nature",
,,The Iliad,600,Epic Poem,"Set during the Trojan War, The Iliad focuses on the wrath of the Greek warrior Achilles after a dispute with Agamemnon, which leads to devastating consequences for both sides. As gods intervene and heroes fall, the epic explores themes of honor, fate, glory, and the brutal cost of war.",Homer,800 BCE,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1330,9,11.3,7 to 12 ,,"classic, epic poem ","fate vs. free will, war, love, friendship, mortality, honor, divine intervention ","mythology, classic, fantasy, hero's journey, adventure",Greek Mythology 
,,All My Rage,384,Novel,"In a small California desert town, childhood friends Salahudin and Noor struggle with grief, family trauma, and identity as they navigate love, loss, and forgiveness. As their lives spiral under the weight of secrets and pressure, they must decide whether to break the cycle or be consumed by it.",Sabaa Tahir,2022,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,590,7,4.7,9 to 12 ,,realistic fiction,"friendship, loss, grief, hope, cultural identity, legacy of heritage","young adult literature, coming of age, american dream, facing racism, immigrant experience",Pakistani American/South Asian American
,,Purple Hibiscus,336,Novel,"Fifteen-year-old Kambili grows up in a strict and oppressive household under her devoutly religious father in Nigeria, until a visit to her aunts more liberal home exposes her to new ways of thinking. As political unrest brews outside and family tensions rise within, Kambili begins to find her voice and question the limits of faith, freedom, and love.",Chimamanda Ngozi Adichie,2003,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,920,8,5.8,9 to 12 ,,realistic fiction ,"freedom vs. control, family, facing racism, religion","coming of age, colonialism, African, gender roles",African/Nigerian/Igbo
,,The Prince And The Pauper,224,Novel,"When Edward, the Prince of England, and Tom, a poor boy from London, swap clothes and unintentionally switch lives, each is thrown into the others world. Through their adventures, both boys gain empathy and insight into the harsh inequalities of society, leading to a deeper understanding of justice and identity.",Mark Twain ,1881,,,Moderately Complex ,Moderately Complex ,Very Complex,Moderately Complex,,1090,9,9.5,7 to 12 ,,historical fiction,"identity, social class, justice, appearance, wealth ","satire, adventure, British, social commentary",
,,Treasure Island,238,Novel,"Young Jim Hawkins embarks on a perilous sea voyage after discovering a pirates treasure map, joining a crew that includes the cunning and dangerous Long John Silver. As adventure, betrayal, and battle unfold, Jim must find the courage to survive and uncover the buried treasure.",Robert Louis Stevenson ,1883,,,Moderately Complex ,Moderately Complex ,Very Complex,Moderately Complex,,980,7,8.3,5 to 12 ,,adventure fiction,"good vs evil, exploration, greed, honor, savagery vs. civilization","coming of age, quest, historical, gothic, classic, moral ambiguity ",
,,Anne Of Green Gables,320,Novel,"When imaginative and spirited orphan Anne Shirley is mistakenly sent to live with elderly siblings Marilla and Matthew Cuthbert on Prince Edward Island, her presence turns their quiet lives upside down. As Anne grows up, she learns to navigate friendship, family, and self-discovery, bringing joy and change to the world around her.",Lucy Maud Montgomery,1908,,,Moderately Complex ,Slightly Complex,Moderately Complex,Slightly Complex,,970,7.5,7.3,3 to 8 ,,"fiction, classic","imagination, creativity, friendship, family, gender roles, individuality","coming of age, classic, children's literature, historical fiction, sentimental ",
,,Out Of My Mind,295,Novel,"Eleven-year-old Melody, a brilliant girl with cerebral palsy who cannot speak or walk, fights to show the world she is more than her disability. When she gains a way to communicate, she challenges others assumptions and finds her voice in a world that too often overlooks her.",Sharon M. Draper,2010,,,Moderately Complex ,Slightly Complex,Slightly Complex,Moderately Complex,,700,4.51,4.3,5 to 8,,realistic fiction ,"communication, acceptance, family, identity, resilience, prejudice","coming of age, ability and disability, inspiring ",
,,The Secret Garden,375,Novel,"After the death of her parents, spoiled and lonely Mary Lennox is sent to live with her reclusive uncle in England, where she discovers a hidden garden and, through friendship and nature, transforms her own life and helps heal her cousin Colin and his grieving father.",Frances Hodgson Burnett,1911,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,950,6.51,7,3 to 8,,"fiction, bildungsroman","connection to nature, personal growth, isolation","coming of age, friendship, resilience, independence",
,,From The Mixed-Up Files Of Mrs. Basil E. Frankweiler,162,Novel,"Twelve-year-old Claudia Kincaid runs away with her brother Jamie to the Metropolitan Museum of Art in search of independence and purpose, but their adventure leads them to unravel the mystery behind a statue possibly created by Michelangeloand to a deeper understanding of themselves, secrets, and growing up.",E. L. Konigsburg,1967,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex ,,700,4.51,4.97,3 to 8,,realistic fiction ,"self-discovery, independence, imagination","young adult, mystery, adventure, curiousity",
,,And Then There Were None,272,Novel,"In And Then There Were None, ten strangers lured to a remote island are killed one by one in accordance with a sinister nursery rhyme, until it is revealed through a posthumous confession that the mastermind, Judge Wargrave, orchestrated the murders to deliver his own twisted form of justice.",Agatha Christie,1939,,,Very Complex,Very Complex,Very Complex,Very Complex,,570,3.64,3.24,7 to 12,,psychological fiction,"fear, good vs. evil, justice, corruption","horror, isolation, guilt, manipulation, power and control",
,,Moby Dick,635,Novel,"Ishmael joins the whaling ship Pequod, where Captain Ahab's obsessive quest to hunt the white whale Moby Dick leads the crew into danger. As the journey unfolds, Ishmael witnesses the destructive consequences of vengeance and obsession.",Herman Melville,1851,,,Very Complex,Exceedingly Complex,Very Complex,Very Complex,,1150,9.8,10.3,9 to 12 ,,adventure fiction ,"fate vs. free will, man vs. nature, revenge, obsession, limits of knowledge","classic, epic, allegory, religion, race, nautical, philosophical, psychological, quest",
,,The Red Badge Of Courage,149,Novel,"Henry Fleming, a young Union soldier in the Civil War, grapples with fear, courage, and self-identity after fleeing his first battle. As he confronts the realities of war, he ultimately matures and finds a sense of personal redemption.",Stephen Crane,1895,,,Very Complex,Moderately Complex ,Very Complex,Moderately Complex,,900,7.6,8,6 to 12 ,,historical fiction,"courage, fear, war, survival, isolation, honor, death, masculinity ","coming of age, naturalism, realism, self-discovery, Civil War",
,,"The Lion, The Witch And The Wardrobe",208,Novel,"Four siblings enter a magical wardrobe and find themselves in Narnia, and this leads them to join a battle against the evil White Witch to bring hope and freedom to the land.",C. S. Lewis,1950,,,Moderately Complex ,Moderately Complex ,Slightly Complex,Slightly Complex,,940,6,5.7,4 to 9,,fantasy fiction,"good vs. evil, family, friendship, bravery, betrayal, forgiveness","Christian values, allegory, children's literature, classic, adventure, portal fantasy",
,,The Sun Also Rises,256,Novel,"A group of expatriates travel from Paris to Spain through postwar Euripe, capturing their aimless post-WWI lives filled with love, loss, and the search for meaning. ",Ernest Hemingway,1926,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,610,4.2,4.4,8 to 12 ,,historical fiction ,"disillusionment, masculinity, war, love, nature, purpose","classic, sexuality, gender, destruction, friendship, identity, The Lost Generation",
,,All American Boys,320,Novel,"Rashad, a black teenager is wrongfully accused of theft and Quinn, a white teengager, witnesses the incident, forcing them to confront issues of racism, police brutality, and friendship in their community. ",Jason Reynolds,2015,,,Very Complex,Moderately Complex ,Slightly Complex,Moderately Complex,,770,5,4.9,7 to 12 ,,realistic fiction,"facing racism, cultural identity, police brutality, systemic racism ","coming of age, young adult literature, father-son relationships, heroism",African American
,,Anthem,104,Novella,"Equality 7-2521 lives in a future society that forbids individuality, and this leads him to secretly seek knowledge and ultimately rediscover the concept of the self, challenging the collectivist world that tried to suppress it.",Ayn Rand,1938,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,880,8,6.1,8 to 12 ,,"science fiction, dystopian fiction","individuality, freedom vs control, self-expression, love, conformity","dystopian, technology, political, philosophical, fantasy",
,,Around The World In Eighty Days,160,Novel,"Phileas Fogg bets he can travel around the world in 80 days, and this leads him on a fast-paced global journey full of unexpected obstacles, daring escapes, and new friendships as he races to win the wager.",Jules Verne,1871,,,Moderately Complex ,Moderately Complex ,Very Complex,Moderately Complex,,890,8,4.3,3 to 12,,adventure fiction ,"adventure, honor, exploration, time, travel, human connection","classic, imperialism, class, gender roles, technology, nautical",
,,Sir Gawain And The Green Knight,192,Epic Poem,"Sir Gawain accepts a mysterious challenge from the supernatural Green Knight, and this sends him on a journey that tests his courage, honor, and human flaws as he struggles to live up to the ideals of knighthood.",Gawain Poet,1839,,,Very Complex,Very Complex ,Very Complex,Very Complex,,1050,6,5.9,9 to 12 ,,epic poem ,"honor, good vs. evil, morality, the dangers of temptation, chivalry","romance, medieval, supernatural, death, Christian values",
,,The Boy Who Harnessed The Wind,320,Non-Fiction Book,"William Kamkwamba teaches himself how to build a windmill to save his village from famine, revealing how perseverance and creativity can change lives even in the face of extreme poverty.",William Kamkwamba and Bryan Mealer,2009,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex,,860,4.51,5.8,5 to 9,,nonfiction,"education, resilience, resourcefulness, poverty, innovation, community","narrative nonfiction, science, rural, biography, inspiring",African/Malawian
,,Educated,351,Memoir,"Tara Westover recounts her journey from growing up in a strict, isolated Mormon family with no formal education, and this motivates her to pursue knowledge that ultimately reshapes her identity and life path. Through education, she struggles to reconcile her desire for independence with loyalty to her family and their deeply ingrained beliefs.",Tara Westover,2018,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,870,6.12,6.4,9 to 12 ,,"memoir, autobiography","family, identity, education, self-discovery, religion, abuse","coming of age, inspiring, emotional, personal growth, resilience",Mormon
,,Into The Wild,224,Non-Fiction Book,"In this true story, Christopher McCandless, a young man, abandons his possessions and family to live off the land in Alaska, seeking freedom and meaning but facing tragic consequences.",Jon Krakauer,1996,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,1270,7.6,8.1,9 to 12 ,,nonfiction,"self-discovery, adventure, man vs. nature, family, pride, survival ","narrative nonfiction, tragedy, father-son relationships, travel writing, nature writing",
,,The Tattooist Of Auschwitz,288,Novel,"Lale Sokolov is chosen to be the tattooist at Auschwitz, and this allows him to survive, help fellow prisoners, and fall in love, even in the face of overwhelming horror.",Heather Morris,2017,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex,,760,4.51,5.1,7 to 12 ,,historical fiction ,"survival, morality, faith, love, war, resilience, cruelty vs. kindness","tragic, hopeful, facing racism, history, the importance of human connection",Holocaust/Jewish
,,Fast Food Nation,288,Non-Fiction Book,"Eric Schlosser investigates the fast food industrys impact on American society, and this reveals how convenience-driven eating has led to serious consequences for health, workers, and the environment.",Eric Schlosser,2001,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,1240,9,10.4,9 to 12 ,,"nonfiction, essay","food safety, greed, corporations, government, consumerism","investigative reporting, essay, social commentary, business and economics",
,,"Alas, Babylon",352,Novel,"After a nuclear war devastates the United States, Randy Bragg and his small Florida town struggle to survive in isolation, ultimately rebuilding a self-sufficient and resilient community amid the collapse of civilization.",Pat Frank,1959,,,Moderately Complex ,Moderately Complex ,Very Complex,Very Complex,,870,6.12,6,7 to 12,,science fiction ,"survival, human nature, community, burdens of war, nuclear war","post-apocalyptic, moral responsibility, resilience, ",
,,Paradise Lost,512,Epic Poem,"Paradise Lost tells the story of Satans rebellion against God, his fall from Heaven, and his role in the temptation of Adam and Eve, which leads to humanitys loss of Paradise. The poem explores themes of free will, obedience, and the nature of good and evil.",John Milton,1667,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1360,17,9,9 to 12 ,,epic poem ,"fate vs. free will, rebellion, good vs. evil, love, religion","Christian values, tragedy, classic, drama, poetry, biblical",
,,The Pearl,90,Novella,"When poor pearl diver Kino finds an enormous pearl he hopes will bring prosperity to his family, the treasure instead brings greed, violence, and tragedyculminating in the death of his infant son and Kino's final act of throwing the pearl back into the sea.",John Steinbeck,1957,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,1010,7.72,7.03,7 to 12,,realistic fiction,"greed, good vs. evil, wealth vs. value","allegory, corruption, tragedy, family, man vs. nature",
,,Alice'S Adventures In Wonderland,70,Novel,"In Alices Adventures in Wonderland, Alice follows a White Rabbit down a hole into a fantastical world where she encounters bizarre creatures, undergoes size changes, and navigates a series of absurd, dreamlike adventures before waking up on the riverbank where it all began.",Lewis Carroll,1865,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,880,5.34,5.14,3 to 12,,portal fantasy,"identity, loss of innocence, dreams vs. reality","nonsensical, adventure, curiousity, fantasy",
,,The Screwtape Letters,160,Novel,"In The Screwtape Letters, C.S. Lewis presents a satirical and spiritual narrative in which a senior demon, Screwtape, advises his inept nephew, Wormwood, on how to tempt a British manreferred to as ""the Patient""into sin and damnation, ultimately failing when the man dies a faithful Christian and Wormwood is condemned to be devoured for his failure.",C. S. Lewis,1942,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,1170,10.22,10.84,7 to 12,,religious fiction,"fate vs. free will, love vs. self-interest, good vs. evil, the danger of temptation","epistolary, satire, religion, corruption, pride",
,,March,288,Novel,"A retelling of Louisa May Alcott's Little Women, Brooks explores the point of view of the protagonists' absent father.  March confronts the brutal realities of war, slavery, and his own moral failings. He suffers illness, disillusionment, and emotional turmoil, especially as he reflects on the impact of his choices on his family back home. Through his letters and flashbacks, the novel reveals his past, including his relationship with a formerly enslaved woman and his evolving views on race, justice, and personal integrity. Ultimately, he returns home changed, both physically and spiritually.",Geraldine Brooks,2005,,,,,,,,1050,8.32,9.67,7 to 11,,historical fiction,"racial injustice, war, slavery, guilt, activism, sacrifice","literary reimagining, biographical, morality, mental health",
Erin,,Thirteen Reasons Why,320,Novel,"After high schooler Clay Jensen receives a mysterious box of tapes recorded by his classmate Hannah Baker before her suicide, he follows her voice across townlistening to stories of betrayal, bullying, and abuse involving thirteen people she holds responsible, including himselfuncovering the painful truth behind her tragic decision.",Jay Asher,2007,,,Slightly Complex,Moderately Complex ,Moderately Complex ,Moderately Complex ,,550,3.66,3.95,7 to 12,,realistic fiction,"the cruelty of bullying, the power of words, the butterfly effect","mystery, descriptions of sexual harassment, mental health, rumors, suicide",
Erin,,Twenty Thousand Leagues Under The Sea,212,Novel,"In Twenty Thousand Leagues Under the Sea, Professor Aronnax, his servant Conseil, and harpooner Ned Land are taken captive aboard the advanced submarine Nautilus, where under the enigmatic Captain Nemo, they embark on a fantastical, perilous journey beneath the oceanswitnessing marine wonders and tragediesuntil they ultimately escape as the vessel disappears into a violent maelstrom.",Jules Verne,1870,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,440,2.75,1.98,5 to 12,,science fiction,"man vs nature, limits of knowledge, revenge","exploration, technology, political satire, isolation",
Erin,,A Farewell To Arms,355,Novel,"During World War I, American ambulance driver Frederic Henry falls deeply in love with British nurse Catherine Barkley, but after deserting the chaotic Italian front and escaping to Switzerland, their brief peace ends tragically when Catherine dies in childbirth, leaving Henry to face unbearable loss alone.",Ernest Hemingway,1929,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,730,4.51,4.97,9 to 12,,historical fiction,"burdens of war, loss of innocence, morality in war","greif, World War I, romance, isolation, suffering",
Erin,,A Man Called Ove,368,Novel,"The novel A Man Called Ove alternates between Oves childhood and his present as a curmudgeonly widower who, after multiple failed suicide attempts, finds renewed purpose through unexpected friendships with his new neighbors, a stray cat, and a changing community that gradually draws him out of his grief.",Fredrik Backman,2012,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,870,6.12,6,9 to 12,,humorous fiction,"acceptance of change, grief, community","resilience, loss, suicide attempts, morality",
Erin,,A Raisin In The Sun,151,Drama,"A Raisin in the Sun follows the Younger family as they struggle with conflicting dreams, racial discrimination, and economic hardship in 1950s Chicago, ultimately choosing dignity, unity, and hope by moving into a new home despite the risks.",Lorraine Hansberry,1959,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,970,7.72,7.03,7 to 12,,realistic drama,"race, identity, family","The American Dream, gender roles, dignity, resilience",African American
Erin,,A Separate Peace,236,Novel,"In A Separate Peace, Gene Forrester reflects on his complex friendship with the charismatic Finny at a boys boarding school during World War II, where envy, guilt, and a tragic accident reveal the inner battles of adolescence and the loss of innocence.",John Knowles,1959,,,Very Complex,Very Complex,Very Complex,Very Complex,,1030,8.32,9.67,9 to 12,,"fiction, bildungsroman","loss of innocence, identity, friendship","coming of age, self-discovery, guilt, war, rivalry",
Erin,,A Tree Grows In Brooklyn,493,Novel,"A Tree Grows in Brooklyn follows Francie Nolans coming of age in early 20th-century Brooklyn, as she navigates poverty, family hardship, loss, and self-discovery, ultimately emerging with resilience and hope for a better future.",Betty Smith,1943,,,Very Complex,Very Complex,Very Complex,Very Complex,,810,5.34,5.14,9 to 12,,"fiction, bildungsroman","resilience, education, family","coming of age, immigrant experience, The American Dream, poverty, gender roles",Irish and Austrian
Erin,,All American Boys,320,Novel,"In All American Boys, two high school studentsRashad, a Black teen brutally beaten by a white police officer, and Quinn, a white teen who witnesses the assault by someone he trustsgrapple with issues of race, justice, and moral courage as their lives intersect in the aftermath of the incident and lead them to take a stand at a community protest.",Jason Reynolds,2015,,,Exceedingly Complex,Very Complex,Moderately Complex ,Very Complex,,770,4.51,4.97,8 to 12,,realistic fiction,"police brutality, responsibility, justice","coming of age, father-son relationships, the power of voice, courage, identity",African American
Erin,,All The Light We Cannot See,531,Novel,"All the Light We Cannot See follows the intersecting lives of Marie-Laure, a blind French girl aiding the resistance, Werner, a German boy forced into the Nazi war machine, and von Rumpel, a dying Nazi hunting a legendary diamond, all converging in war-torn Saint-Malo as they grapple with fate, morality, and the unseen forces that connect us.",Anthony Doerr,2014,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,880,6,5.9,7 to 12,,historical fiction,"loss of innocence, morality in war, fate vs. free will","ability and disability, resilience, knowledge, human connection, World War II",French/German
Erin,,Americanah,608,Novel,"In Americanah, Nigerian expatriate Ifemelu returns home after years in America, reigniting her connection with former lover Obinze as they each confront the emotional costs of migration, identity, and the longing for authenticity in love and selfhood.",Chimamanda Ngozi Adichie,2013,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,940,6.51,7,9 to 12,,realistic fiction,"race, identity, social belonging, human connection","immigrant experience, gender roles, homecoming, privilege",African (Nigerian)
Erin,,An Ember In The Ashes,446,Novel,"In An Ember in the Ashes, Laia, a Scholar girl seeking to rescue her imprisoned brother, and Elias, a disillusioned soldier training to be an imperial assassin, find their paths entangled in a brutal empire ruled by violence, betrayal, and supernatural forces as they both struggle to choose freedom over fear.",Sabaa Tahir,2015,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,680,3.66,3.95,7 to 12,,fantasy fiction,"betrayal, oppression, corruption, fate vs. free will","supernatural, romantic, rebellion, violence",
Erin,,And The Mountains Echoed,402,Novel,"In And the Mountains Echoed by Khaled Hosseini, a multi-generational, multi-perspective narrative unfolds across continents and decades, centering on the painful separation of siblings Abdullah and Pari in 1950s Afghanistan, and exploring how this act of sacrifice, memory, and longing reverberates through the lives of those connected to them in profound, often heartbreaking ways.",Khaled Hosseini,2013,,,Moderately Complex ,Very Complex,Moderately Complex ,Very Complex,,875,6,6.1,7 to 12,,realistic fiction,"legacy of heritage, sacrifice, choice","guilt, love, loss, resilience",Afghan/Greek
Erin,,As I Lay Dying,208,Novel,"Addie Bundrens dying wish to be buried in her hometown sets her impoverished family on a grueling journey fraught with physical hardships, personal struggles, and secrets, culminating in her burial and the fracturing of the family, especially with her son Darls mental breakdown and Dewey Dells desperate attempts to deal with her unwanted pregnancy.",William Faulkner,1930,,,Very Complex,Very Complex,Very Complex,Very Complex,,870,6.12,6,10 to 12,,historical fiction,"family, mortality, communication, isolation","identity, responsibility, American South, truth",African American
Erin,,Beartown,418,Novel,"In a struggling Swedish town obsessed with hockey, a star players violent assault on a teammates daughter fractures the community, exposing deep divides around loyalty, justice, and change.",Fredrik Backman,2016,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,840,5.34,5.14,10 to 12,,realistic fiction,"power and control, trauma, accountability","descriptions of sexual abuse, community, sports, loyalty",
Erin,,Beloved,321,Novel,"Sethe, a former slave haunted by the traumatic legacy of her past and the ghost of her dead daughter, struggles to reclaim her identity and find healing when the mysterious young woman Belovedwho may embody her lost childs spiritarrives at her Cincinnati home, forcing Sethe and her community to confront the painful wounds of slavery, memory, and love.",Toni Morrison,1987,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,870,6.12,6,10 to 12,,historical fiction,"memory, redemption, trauma, motherhood","supernatural, slavery, identity, community, loss",African American
Erin,,"Born To Run: A Hidden Tribe, Superathletes, And The Greatest Race The World Has Never Seen",304,Memoir,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World has Never Seen by Christopher McDougall explores the secrets of the Tarahumara Indians, a reclusive tribe in Mexico known for their superhuman long-distance running abilities, while challenging modern running myths and celebrating the joy of running.",Christopher McDougall,2009,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,1040,8.43,8.49,7 to 12,,biography,"physical activity and movement, connection to nature, community","sports, simplicity, human potential, resilience",Tarahumara (or Raramuri) people of Mexico
